"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",25,"question",75,5193,1,303,0.0033003300330033,3.3003300330033
"child","and",25,"question",75,5204,2,483,0.0041407867494824,4.1407867494824
"child","and",25,"question",181,14346,19,1907,0.00996329313057158,9.96329313057158
"child","and",25,"question",189,15058,2,540,0.0037037037037037,3.7037037037037
"child","and",25,"question",189,15091,7,5095,0.0013738959764475,1.3738959764475
"child","and",26,"declarative",31,2563,36,2064,0.0174418604651163,17.4418604651163
"child","and",26,"declarative",38,3088,151,4909,0.0307598288857201,30.7598288857201
"child","and",26,"declarative",39,3136,65,1380,0.0471014492753623,47.1014492753623
"child","and",26,"declarative",48,3371,18,3784,0.0047568710359408,4.7568710359408
"child","and",26,"declarative",48,3376,2,1642,0.00121802679658952,1.21802679658952
"child","and",26,"declarative",48,3379,19,1455,0.0130584192439863,13.0584192439863
"child","and",26,"declarative",51,3748,4,1179,0.00339270568278202,3.39270568278202
"child","and",26,"declarative",51,3764,17,1502,0.0113182423435419,11.3182423435419
"child","and",26,"declarative",51,3774,281,4333,0.0648511423955689,64.8511423955689
"child","and",26,"declarative",51,3789,51,4627,0.0110222606440458,11.0222606440458
"child","and",26,"declarative",51,3801,11,930,0.0118279569892473,11.8279569892473
"child","and",26,"declarative",52,3825,6,1182,0.0050761421319797,5.07614213197969
"child","and",26,"declarative",55,3972,5,725,0.00689655172413793,6.89655172413793
"child","and",26,"declarative",57,4084,1,583,0.00171526586620926,1.71526586620926
"child","and",26,"declarative",64,4709,1,493,0.00202839756592292,2.02839756592292
"child","and",26,"declarative",65,4722,2,601,0.00332778702163062,3.32778702163062
"child","and",26,"declarative",65,4726,16,630,0.0253968253968254,25.3968253968254
"child","and",26,"declarative",66,4778,1,255,0.00392156862745098,3.92156862745098
"child","and",26,"declarative",66,4804,5,419,0.0119331742243437,11.9331742243437
"child","and",26,"declarative",69,5054,42,5182,0.00810497877267464,8.10497877267464
"child","and",26,"declarative",71,5080,16,837,0.019115890083632,19.115890083632
"child","and",26,"declarative",75,5193,25,3314,0.00754375377187689,7.54375377187689
"child","and",26,"declarative",75,5204,8,2532,0.00315955766192733,3.15955766192733
"child","and",26,"declarative",78,5241,22,3841,0.00572767508461338,5.72767508461338
"child","and",26,"declarative",181,14346,61,16149,0.00377732367329246,3.77732367329246
"child","and",26,"declarative",184,14432,2,107,0.0186915887850467,18.6915887850467
"child","and",26,"declarative",184,14572,3,209,0.0143540669856459,14.3540669856459
"child","and",26,"declarative",184,14608,8,602,0.0132890365448505,13.2890365448505
"child","and",26,"declarative",187,14970,23,2447,0.00939926440539436,9.39926440539436
"child","and",26,"declarative",187,14975,5,3815,0.00131061598951507,1.31061598951507
"child","and",26,"declarative",187,14978,5,3097,0.00161446561188247,1.61446561188247
"child","and",26,"declarative",187,14982,94,6958,0.0135096292037942,13.5096292037942
"child","and",26,"declarative",187,14990,10,3904,0.00256147540983607,2.56147540983607
"child","and",26,"declarative",187,14996,21,3000,0.007,7
