"speaker","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"child","other",42,"imperative",959,975,0.983589743589744,983.589743589744
"child","other",42,"other",1941,2034,0.954277286135693,954.277286135693
"child","other",42,"question",9563,9694,0.986486486486487,986.486486486487
"child","other",43,"declarative",41237,42246,0.976116081995929,976.116081995929
"child","other",43,"imperative",1196,1229,0.973148901545972,973.148901545972
"child","other",43,"other",2902,3004,0.966045272969374,966.045272969374
"child","other",43,"question",8711,8848,0.984516274864376,984.516274864376
"child","other",44,"declarative",45401,46551,0.975295912010483,975.295912010483
"child","other",44,"imperative",1722,1776,0.969594594594595,969.594594594595
"child","other",44,"other",1924,2035,0.945454545454545,945.454545454545
"child","other",44,"question",10712,10873,0.9851926791134,985.1926791134
"child","other",45,"declarative",45285,46274,0.978627306911008,978.627306911008
"child","other",45,"imperative",2620,2662,0.984222389181067,984.222389181067
"child","other",45,"other",1483,1560,0.950641025641026,950.641025641026
"child","other",45,"question",9848,9963,0.988457291980327,988.457291980327
"child","other",46,"declarative",42950,43985,0.976469250880982,976.469250880982
"child","other",46,"imperative",2158,2209,0.976912630149389,976.912630149389
"child","other",46,"other",2239,2339,0.957246686618213,957.246686618213
"child","other",46,"question",7782,7872,0.988567073170732,988.567073170732
"child","other",47,"declarative",33564,34317,0.978057522510709,978.057522510709
"child","other",47,"imperative",921,938,0.981876332622601,981.876332622601
"child","other",47,"other",1200,1264,0.949367088607595,949.367088607595
"child","other",47,"question",7611,7683,0.990628660679422,990.628660679422
"child","other",48,"declarative",44425,45724,0.971590412037442,971.590412037442
"child","other",48,"imperative",1993,2034,0.97984267453294,979.84267453294
"child","other",48,"other",2239,2396,0.934474123539232,934.474123539232
"child","other",48,"question",8544,8643,0.988545643873655,988.545643873655
"child","other",49,"declarative",32769,33515,0.977741309861256,977.741309861256
"child","other",49,"imperative",672,692,0.971098265895954,971.098265895954
"child","other",49,"other",1228,1280,0.959375,959.375
"child","other",49,"question",7026,7110,0.988185654008439,988.185654008439
"child","other",50,"declarative",37002,37977,0.974326566079469,974.326566079469
"child","other",50,"imperative",1329,1358,0.978645066273932,978.645066273932
"child","other",50,"other",1972,2081,0.947621335896204,947.621335896204
"child","other",50,"question",7825,7933,0.986385982604311,986.385982604311
"child","other",51,"declarative",32388,33130,0.977603380621793,977.603380621793
"child","other",51,"imperative",1314,1340,0.980597014925373,980.597014925373
"child","other",51,"other",1379,1433,0.96231681786462,962.31681786462
"child","other",51,"question",6461,6560,0.984908536585366,984.908536585366
"child","other",52,"declarative",36529,37450,0.975407209612817,975.407209612817
"child","other",52,"imperative",880,904,0.973451327433628,973.451327433628
"child","other",52,"other",1364,1458,0.935528120713306,935.528120713306
"child","other",52,"question",7148,7241,0.987156470100815,987.156470100815
"child","other",53,"declarative",24067,24572,0.97944815236855,979.44815236855
"child","other",53,"imperative",823,836,0.98444976076555,984.44976076555
"child","other",53,"other",1189,1229,0.967453213995118,967.453213995118
"child","other",53,"question",4968,5019,0.989838613269576,989.838613269576
"child","other",54,"declarative",29827,30409,0.980860929330133,980.860929330133
"child","other",54,"imperative",2380,2414,0.985915492957746,985.915492957747
"child","other",54,"other",1774,1832,0.968340611353712,968.340611353712
"child","other",54,"question",8767,8870,0.988387824126268,988.387824126268
"child","other",55,"declarative",26914,27509,0.978370715038715,978.370715038715
"child","other",55,"imperative",1045,1054,0.99146110056926,991.46110056926
"child","other",55,"other",1367,1424,0.95997191011236,959.97191011236
"child","other",55,"question",6782,6871,0.987047009168971,987.047009168971
"child","other",56,"declarative",26346,27122,0.971388540668092,971.388540668092
"child","other",56,"imperative",964,977,0.986693961105425,986.693961105425
"child","other",56,"other",878,930,0.944086021505376,944.086021505376
"child","other",56,"question",4994,5051,0.98871510591962,988.71510591962
"child","other",57,"declarative",231708,235919,0.982150653402227,982.150653402227
"child","other",57,"imperative",20594,20867,0.986917141898692,986.917141898692
"child","other",57,"other",20749,21592,0.960957762134124,960.957762134124
"child","other",57,"question",62253,63073,0.986999191413124,986.999191413124
"child","other",58,"declarative",29747,30409,0.978230129238055,978.230129238054
"child","other",58,"imperative",709,716,0.990223463687151,990.223463687151
"child","other",58,"other",1392,1470,0.946938775510204,946.938775510204
"child","other",58,"question",5647,5723,0.986720251616285,986.720251616285
"child","other",59,"declarative",28497,29214,0.975456972684329,975.456972684329
"child","other",59,"imperative",1273,1301,0.97847809377402,978.47809377402
"child","other",59,"other",1666,1790,0.93072625698324,930.72625698324
"child","other",59,"question",6420,6507,0.986629783310281,986.629783310281
"child","other",60,"declarative",22867,23619,0.968161226131504,968.161226131504
"child","other",60,"imperative",433,436,0.993119266055046,993.119266055046
"child","other",60,"other",1243,1341,0.926920208799403,926.920208799403
"child","other",60,"question",4244,4292,0.988816402609506,988.816402609506
"child","other",61,"declarative",14953,15533,0.962660142921522,962.660142921522
"child","other",61,"imperative",437,443,0.986455981941309,986.455981941309
"child","other",61,"other",595,632,0.941455696202532,941.455696202532
"child","other",61,"question",2145,2169,0.988934993084371,988.934993084371
"child","other",62,"declarative",14642,15107,0.969219567088105,969.219567088105
"child","other",62,"imperative",484,489,0.989775051124744,989.775051124744
"child","other",62,"other",742,772,0.961139896373057,961.139896373057
"child","other",62,"question",3367,3414,0.986233157586409,986.233157586409
"child","other",63,"declarative",11484,11856,0.968623481781376,968.623481781376
"child","other",63,"imperative",871,883,0.986409966024915,986.409966024915
"child","other",63,"other",554,591,0.937394247038917,937.394247038917
"child","other",63,"question",1964,1997,0.983475212819229,983.475212819229
"child","other",64,"declarative",6729,6891,0.976491075315629,976.491075315629
"child","other",64,"imperative",615,626,0.982428115015974,982.428115015975
"child","other",64,"other",380,392,0.969387755102041,969.387755102041
"child","other",64,"question",1081,1093,0.989021043000915,989.021043000915
"child","other",65,"declarative",6033,6225,0.969156626506024,969.156626506024
"child","other",65,"imperative",765,780,0.980769230769231,980.769230769231
